,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(55.665,12.332) → (55.647,12.279)",3.8579682018461,679.3355421015942,"(55.665,12.332)","(55.647,12.279)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.34) → (55.64,12.634)",18.655502320473,192.91021481060656,"(55.665,12.34)","(55.64,12.634)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.341) → (55.648,12.302)",3.1254837298968,681.244000343527,"(55.665,12.341)","(55.648,12.302)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.343) → (55.631,12.618)",17.699887108664,192.74171194510348,"(55.665,12.343)","(55.631,12.618)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.344) → (55.646,12.286)",4.2450059068333,679.9294456439412,"(55.665,12.344)","(55.646,12.286)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.347) → (55.649,12.275)",4.8409148307828,679.8450302893199,"(55.665,12.347)","(55.649,12.275)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.35) → (55.635,12.624)",17.511436014997,192.6786693594568,"(55.665,12.35)","(55.635,12.624)",Albertslund,Tårnby,Region Hovedstaden,Region Hovedstaden
"(55.665,12.351) → (55.724,12.397)",7.192540751727999,313.08379125000084,"(55.665,12.351)","(55.724,12.397)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.353) → (55.721,12.396)",6.744230594119401,312.8103193863155,"(55.665,12.353)","(55.721,12.396)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.354) → (55.648,12.286)",4.7067174713834,679.1133428243149,"(55.665,12.354)","(55.648,12.286)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.634,12.458)",7.3204548010612,230.6581142949599,"(55.665,12.356)","(55.634,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.64,12.458)",6.998886702069,230.582669889186,"(55.665,12.356)","(55.64,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.356) → (55.64,12.371)",2.9061297313825,461.517879560112,"(55.665,12.356)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.72,12.397)",6.5465394124805,312.708004370266,"(55.665,12.357)","(55.72,12.397)",Albertslund,Ballerup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.682,12.542)",11.76561583137,2280.557365205374,"(55.665,12.357)","(55.682,12.542)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.357) → (55.645,12.3)",4.2564632644206,681.0714976905534,"(55.665,12.357)","(55.645,12.3)",Albertslund,Høje-Taastrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.358) → (55.672,12.415)",3.6431756498004,811.1556469206648,"(55.665,12.358)","(55.672,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.684,12.535)",11.217519797368,2283.014473808786,"(55.665,12.359)","(55.684,12.535)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.671,12.415)",3.5693901549222002,808.6186779675564,"(55.665,12.359)","(55.671,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.631,12.458)",7.3081792472239995,231.24753177400183,"(55.665,12.359)","(55.631,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.359) → (55.64,12.371)",2.8576908432357,231.24753177400183,"(55.665,12.359)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.674,12.531)",10.75170037904,2287.1331224771143,"(55.665,12.36)","(55.674,12.531)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.684,12.545)",11.757391912286,2281.303541383028,"(55.665,12.36)","(55.684,12.545)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.634,12.458)",7.096895581230299,230.85976526515213,"(55.665,12.36)","(55.634,12.458)",Albertslund,Hvidovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.36) → (55.64,12.371)",2.8294557153096003,230.582669889186,"(55.665,12.36)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.665,12.361) → (55.673,12.415)",3.4731545573966,809.590409696972,"(55.665,12.361)","(55.673,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.362) → (55.673,12.415)",3.3968599620438,809.4898965305391,"(55.665,12.362)","(55.673,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.363) → (55.616,12.354)",5.5496829753577,205.56006496212177,"(55.665,12.363)","(55.616,12.354)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.678,12.519)",9.800473145818199,2287.7124104559375,"(55.665,12.364)","(55.678,12.519)",Albertslund,Frederiksberg,Region Hovedstaden,Region Hovedstaden
"(55.665,12.364) → (55.67,12.458)",5.9288962542511,322.5711788636372,"(55.665,12.364)","(55.67,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.672,12.415)",3.2028090466527996,808.8832501302704,"(55.665,12.365)","(55.672,12.415)",Albertslund,Glostrup,Region Hovedstaden,Region Hovedstaden
"(55.665,12.365) → (55.675,12.458)",5.9942470572005995,322.53113064888663,"(55.665,12.365)","(55.675,12.458)",Albertslund,Rødovre,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.616,12.344)",5.7586012279923,205.38051272838896,"(55.665,12.371)","(55.616,12.344)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.616,12.354)",5.6118584995399,205.31333620269987,"(55.665,12.371)","(55.616,12.354)",Albertslund,Ishøj,Region Hovedstaden,Region Hovedstaden
"(55.665,12.371) → (55.64,12.371)",2.7569967367947994,230.83110330753652,"(55.665,12.371)","(55.64,12.371)",Albertslund,Vallensbæk,Region Hovedstaden,Region Hovedstaden
"(55.666,12.354) → (55.666,12.355)",0.030276274021251,36659.26573909101,"(55.666,12.354)","(55.666,12.355)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
"(55.666,12.355)",0.01365501371449292,183348.2061320279,"(55.666,12.355)","(55.666,12.355)",Albertslund,Albertslund,Region Hovedstaden,Region Hovedstaden
