,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(49.379,8.5) → (49.398,8.353)",10.83277294842,5155.838023399533,"(49.379,8.5)","(49.398,8.353)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.38,8.5) → (49.397,8.355)",10.67493003445,5154.78665551487,"(49.38,8.5)","(49.397,8.355)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.381,8.499) → (49.4,8.351)",10.903673922223,5156.102580905632,"(49.381,8.499)","(49.4,8.351)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.381,8.499) → (49.4,8.358)",10.443642189712,5154.283006208204,"(49.381,8.499)","(49.4,8.358)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.382,8.498) → (49.398,8.354)",10.564632387863,5155.020834596565,"(49.382,8.498)","(49.398,8.354)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Rheinland-Pfalz
"(49.466,8.581) → (49.6,8.616)",15.140314103575001,3103.1516296702566,"(49.466,8.581)","(49.6,8.616)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.469,8.576) → (49.617,8.618)",16.708034538320998,3102.2157092418925,"(49.469,8.576)","(49.617,8.618)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.471,8.576) → (49.607,8.623)",15.445650720736001,3102.518841372823,"(49.471,8.576)","(49.607,8.623)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.472,8.575) → (49.604,8.625)",15.164223586569,3103.452969296501,"(49.472,8.575)","(49.604,8.625)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(49.474,8.572) → (49.615,8.613)",15.98489612293,3103.3108592760873,"(49.474,8.572)","(49.615,8.613)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.475,8.588) → (49.617,8.624)",16.005664909432,3102.6597870727646,"(49.475,8.588)","(49.617,8.624)",Karlsruhe Region,Regierungsbezirk Darmstadt,Baden-Württemberg,Hesse
"(49.476,8.572) → (49.609,8.617)",15.168798753067,3102.6177276000994,"(49.476,8.572)","(49.609,8.617)",Karlsruhe Region,Karlsruhe Region,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941) → (48.656,8.942)",0.059176116743223,611325.4067142473,"(48.656,8.941)","(48.656,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.656,8.941) → (48.657,8.941)",0.053243200538874,611237.908864273,"(48.656,8.941)","(48.657,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.94) → (48.658,8.941)",0.08872177423906699,611481.6895421437,"(48.657,8.94)","(48.658,8.941)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.941) → (48.657,8.942)",0.062856766547729,611297.6358037206,"(48.657,8.941)","(48.657,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
"(48.657,8.942)",0.06671233284144301,1222770.8088455927,"(48.657,8.942)","(48.657,8.942)",Regierungsbezirk Stuttgart,Regierungsbezirk Stuttgart,Baden-Württemberg,Baden-Württemberg
