,length_km,n_baseline,source_tile,target_tile,source_kommune,target_kommune,source_region,target_region
"(56.219,14.761) → (56.317,14.539)",17.486866122335,144.0959763962134,"(56.219,14.761)","(56.317,14.539)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.783) → (56.072,14.678)",17.594620156139,126.16265230356493,"(56.219,14.783)","(56.072,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.789) → (56.317,14.585)",16.606211603126,144.02091300327567,"(56.219,14.789)","(56.317,14.585)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.793) → (56.076,14.678)",17.436655567567,126.37850629686017,"(56.219,14.793)","(56.076,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.803) → (56.065,14.678)",18.800504762402,126.25552217572982,"(56.219,14.803)","(56.065,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.807) → (56.317,14.576)",17.938273206403,143.98998360732955,"(56.219,14.807)","(56.317,14.576)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.219,14.808) → (56.07,14.678)",18.424710660785998,126.18975234572726,"(56.219,14.808)","(56.07,14.678)",Karlshamns kommun,Sölvesborgs kommun,Blekinge,Blekinge
"(56.219,14.854) → (56.192,15.557)",43.588116469341,92.0365208901047,"(56.219,14.854)","(56.192,15.557)",Karlshamns kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.219,14.877) → (56.219,15.205)",20.286924712083,159.19174535200716,"(56.219,14.877)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.925) → (56.219,15.231)",18.91836465913,159.10881817504742,"(56.219,14.925)","(56.219,15.231)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.946) → (56.219,15.205)",16.043236951176,159.34681228734544,"(56.219,14.946)","(56.219,15.205)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,14.977) → (56.219,15.225)",15.295703434912,159.07464855666885,"(56.219,14.977)","(56.219,15.225)",Karlshamns kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.222,14.839) → (56.223,14.839)",0.044788760272739994,15966.275855308759,"(56.222,14.839)","(56.223,14.839)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.84) → (56.222,14.838)",0.11077556345127,15950.738415744649,"(56.223,14.84)","(56.222,14.838)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.84) → (56.223,14.839)",0.060449452394365,15939.005518742775,"(56.223,14.84)","(56.223,14.839)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.223,14.843) → (56.223,14.842)",0.032230856110739003,15942.429255591172,"(56.223,14.843)","(56.223,14.842)",Karlshamns kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.229,14.797) → (56.317,14.521)",19.615421039555,144.236338708373,"(56.229,14.797)","(56.317,14.521)",Karlshamns kommun,Olofströms Kommun,Blekinge,Blekinge
"(56.184,15.587) → (56.219,15.253)",21.020984299456998,442.9406162396899,"(56.184,15.587)","(56.219,15.253)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.193,15.592) → (56.219,15.272)",19.98757508927,443.03576095293374,"(56.193,15.592)","(56.219,15.272)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.194,15.612) → (56.219,14.886)",44.927062614821,69.95301488730533,"(56.194,15.612)","(56.219,14.886)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.198,15.59) → (56.219,15.263)",20.408884280528,443.26667024739925,"(56.198,15.59)","(56.219,15.263)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.202,15.616) → (56.203,15.617)",0.06454677255023,33688.17083140626,"(56.202,15.616)","(56.203,15.617)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.203,15.615) → (56.203,15.614)",0.022394474234169997,33712.96910618455,"(56.203,15.615)","(56.203,15.614)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.203,15.615) → (56.203,15.616)",0.055212288163344,67441.21567188916,"(56.203,15.615)","(56.203,15.616)",Karlskrona Kommun,Karlskrona Kommun,Blekinge,Blekinge
"(56.206,15.563) → (56.219,15.265)",18.5141955403,443.6984514552808,"(56.206,15.563)","(56.219,15.265)",Karlskrona Kommun,Ronneby Kommun,Blekinge,Blekinge
"(56.219,15.557) → (56.219,14.81)",46.188797936995,70.05765022978117,"(56.219,15.557)","(56.219,14.81)",Karlskrona Kommun,Karlshamns kommun,Blekinge,Blekinge
"(56.317,14.53) → (56.219,14.798)",19.805889441159,127.7521857131304,"(56.317,14.53)","(56.219,14.798)",Olofströms Kommun,Karlshamns kommun,Blekinge,Blekinge
